name,email,phone,address,ssn,credit_card,dob,account_balance,customer_loyalty_points,membership_tier,last_login
Jamie Snow,frederickzimmerman@example.org,cd9689cb2e525f4e2c0fdf1d442a5aaa23d4c4a21b18f4b1fc16c98fb5f4fd04,b2c3bf70860b445b4699e569f18abd52db645ccae3e93e041f8c89d053f6875d,273-34-9198,30067130491643,f48141d4ce95cde6969a959783e4bb09689e79fcd0a7a0d8406030ef78e04d23,7325.31093583285,968,Gold,2024-05-03 08:53:25
Annette Cunningham,lopezelizabeth@example.org,26832beaecb47673afdc42390b411d933b77c69386dbc5eeca6d62df7f1ac6dc,838dbdf2da0aa6cb3111d0ab245a3ffdd7883ab61c12eb86b5d278d67bfb8488,ae7d70fd8b733ed387d65a3e010205118e2d03d8bcdddaeae51ab0dbd8207ef7,222e45087345723f25079de8bc632ef55b933d9422024e14380eb9ee996d25c4,3666f0c541accf8e6ed8828cc477749e630147872f0fcadbb0905e3b7367988a,2692.465722666433,113,Silver,2024-02-22 08:21:18
Zachary Jacobs,jmoses@example.org,8620402c99522f109e3ffce1b25464e5028543f28a0aa78c4f47959018ab9047,"998 Cross Extensions Apt. 416
Port Sarah, ME 96540",883-88-5229,30200792684441,2006-05-22,7885.866977499313,643,Gold,2024-07-17 16:06:30
Carol Knight,fergusonjohn@example.net,5c441771ac095ded90d0c0c83e3b7da5d06e4ad8e8338c7c3535ac2bbb709ae5,"053 Colin Crossroad
West Andrewchester, SC 47905",667-53-4519,1c8e3f85d7cf5f03a4f1a05dd6b7b59cd525e78c56dc72e1c40b54d9769edf80,6d9cacf9610d31a4863f755b9117317e31960a1047d7db790b89e391e598256a,2298.3559680440585,439,Platinum,2024-04-13 07:42:01
Sherri Fisher,20c971bb50809bf297239ed8a604ad0cfa699899084792f60d8632e02c0102d5,65c85ef9369ad8195b2f4db955db15660281eb7b43267694f8bf248e4c9296b6,"110 Stanley Hills
New Sheliastad, AS 62599",831-35-7587,5313911383457537,0c03eeae22b1dc4afb80b4fbd16f91011c0a6b253b7c489803c173b951caec48,1625.8803442954377,854,Gold,2024-01-18 16:58:40
Johnny Lewis,gregory56@example.net,(206)258-1387x527,"USNV Johnson
FPO AE 41054",710-70-0914,30527131509982,b6f181d961007f83887c41e5d6dc15c967575d2a438672b1422b619f5b45fa76,6925.724624893785,378,Platinum,2024-03-04 16:18:16
Adam Hendricks,newmanaustin@example.org,+1-356-489-5864x3324,c4e7c080fabffe200a3be0c8170835c3c4677996980b0caddfcf1e56b05e61b3,d0af4f6ae6a3a6d5916ecee5065727905515d0a7e9a015be03cd0e49623a89d4,348337286912339,c2b3619b2014e786181f046bd2b3ee1708ad6b9208a9f758bb5e46077dc50abe,4562.961287555153,592,Platinum,2024-09-03 21:40:07
Rebecca Nunez,930c6c31e646cd21386ec52de9f1ea0e8f1d92118bb9af777e77133d1373fbff,(496)276-9829x366,4c834db06e32f2840fbc1e631e30326219eddb413b4b9ea616c4c92f065d1295,464-82-2742,6e99793bd2ab7a853f788c9a87dc8f928b8765c1521025cf7819c54fe1838146,c8b56350240b69dc08decdcb1199ab1d4cc319886f0d10971cae65bf13de2b5a,4175.855650475445,180,Platinum,2024-03-02 01:53:50
Jennifer Morales,41ca7eec14f32af3c29c0a1380935b7247b0de9a9fafaa57b52b04906d099a5f,78853e6c7b53ff3e44759fb3852fb6e32fe4ae4f9d84e28f6337752e2b252b97,"164 Newman Rue
Joshuamouth, GA 94722",760-25-9954,3ee87eaa1a8bc116f1f9d8addc955a111fd2e0fd862ea00329d1a75ed781dc21,b5d396eeb4e59ed62db096cd7f3749322824068a9f8cf85e9388654637fb8bdf,5677.634797412731,492,Gold,2024-04-18 01:44:53
Anthony Thomas,williethomas@example.org,475.870.1940,8b84c3738ec711a01446ca909618dc3c474efc514d7049a796694e96b4e71dfb,030-48-8914,f1afc20320796e637e9ef1d60c4c800b614af153b960107a494ad55e881ede7f,2004-08-12,3474.8712937824343,771,Silver,2024-03-13 13:26:36
Anthony Schultz,38c03da2117168d78ab9660c2a61e01fdef28c96bbafbbf5d40f00fab15688ab,d6947a7fe50936fe754c670f8f3d4bc46a4922139b970f871297caf1877f854c,960780c7fc5dd07c02964ff8515e76608121cb54e3f304dca182a74d4fe7beb6,a47212a2fef8374c91e3462d9e311be0ad816f5c56e4c31a112b5b198ecd0046,52f3c06e7dacbc8cd35691befd689db42a0f33b9ad0fb29969b70fbd60e502cb,064ea865134968045d37213d5116f1911290590d593142ef2875cf30fa36fb39,2390.678928447317,775,Silver,2024-06-12 05:41:11
Larry Richardson,nwarren@example.net,7393858208,"320 Watts Burg Suite 117
Vanessabury, UT 91600",6e852190724fc6977387f1cc9ef84573cb4a63e9c5ba56bc05d22af4c5a7abd6,c427cdd89cac8052dcc36c7df4b1ff04cb699c7807441f03b9f3bc8557d93124,305d9b204ebe5961c46d85553b4abb86736edbb4113329daf8bc5cb5f40a14a3,3580.6922970821847,182,Silver,2024-08-04 16:07:26
Elizabeth Riggs,francojeffrey@example.com,fa0f0f77693874466d66446113d1ee36b0668c67dde4c2c95180694da58df324,bf9a710f0fb0870e6ee72f94134d29f2bb161e1aba344c39170feb3fc9ce8781,c8524ef5ce6559c831e589c71b59a8e0f02a7b2d61ae3c316b08203a6ef9b60d,630472678493,be51801b7e0748a75833938b1c30e7dcc2e8722004e49a7ca99e2c832e918030,4583.806295662406,450,Platinum,2024-03-23 10:07:31
Mariah Allen,1edc909112d8cfb95410bbd1d08e7c45c5db5ccfd40b1db502e43d40e207bcef,3f487d5226bdca8b3a56a284064a8e97e606413d9f785ed25644bbf6df41988d,19b6790d943b318dd1ebb1741c4ae833da3b6948ee43880fa533c485ce96d9bd,25b6fa2431547bc91ca90c470455ec490ff3a6cd576051233de8ec6fd82e5644,a2385e4c69c7f351fb189cee918345b376f5516fa3a45678ddc0a55225ea85bd,d82635694e69c19fafe8648104344d701f487cdca4b3db16c54bb0d17c944b70,2597.9351237779683,183,Silver,2024-05-07 08:33:09
